STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FINANCING_SCHEME,Financing scheme,FINANCING_SCHEME_REV,Revenues of financing schemes,FUNCTION,Health function,MODE_PROVISION,Mode of provision,PROVIDER,Health care provider,FACTOR_PROVISION,Factor of provision,ASSET_TYPE,Asset type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,CURRENCY,Currency,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CRI,Costa Rica,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,755.885,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CRI,Costa Rica,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,299.659,,2015,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUS,Australia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,3759.152,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,19.619,,2015,,,,D,Definition differs,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,114.763,,2015,,,,D,Definition differs,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,24.349,,,,,,D,Definition differs,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,135.74,,,,,,D,Definition differs,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,15.688,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,15.092,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DEU,Germany,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2023,,88.055,,2015,,,,D,Definition differs,P,Provisional value,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CZE,Czechia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,1.634,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,82.437,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,107.641,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,0.442,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,1.902,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,32.695,,2015,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,35.533,,2015,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,4524.738,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,1961.064,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,398.506,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,KOR,Korea,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2023,,547.743,,,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FRA,France,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,696.915,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FRA,France,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,1066.794,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FRA,France,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,3519.992,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUS,Australia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,569.928,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUS,Australia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,3395.738,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SWE,Sweden,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,194.908,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SWE,Sweden,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,307.128,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,COL,Colombia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,890.066,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,COL,Colombia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,3119.903,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,COL,Colombia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2023,,525.935,,,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,39.712,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,30.259,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,66.175,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUT,Austria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,112.502,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUT,Austria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,212.944,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUT,Austria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,143.744,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISR,Israel,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,929.405,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISR,Israel,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,175.001,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LUX,Luxembourg,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,0.17,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LUX,Luxembourg,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,47.739,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LUX,Luxembourg,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2023,,6.985,,,,,,P,Provisional value,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LUX,Luxembourg,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,75.299,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DNK,Denmark,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,233.388,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DNK,Denmark,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,569.977,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DNK,Denmark,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,17.244,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,205.793,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,375.975,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,279.7,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,GRC,Greece,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,888.742,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,GRC,Greece,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,606.542,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,42.457,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,154.831,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISR,Israel,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2021,,336.703,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISR,Israel,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,692.395,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,134.415,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,HRV,Croatia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,162.309,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FIN,Finland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,0.207,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,NLD,Netherlands,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,763.281,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,NLD,Netherlands,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,4245.819,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,NLD,Netherlands,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,355.928,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,NLD,Netherlands,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,1907.234,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUS,Australia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,1532.857,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUS,Australia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,1463.371,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,1.953,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,29.703,,2015,,,,P,Provisional value,,,,,6,Millions,1,One
